City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tiksi,60,RU,1667532890,98,71.6872,128.8694,-3.73,7.4
1,Chui,1,UY,1667532891,80,-33.6971,-53.4616,52.66,5.44
2,Jyvaskyla,100,FI,1667532891,98,62.2415,25.7209,41.34,4.61
3,Rikitea,100,PF,1667532779,70,-23.1203,-134.9692,70.36,16.84
4,Puerto Ayora,68,EC,1667532892,84,-0.7393,-90.3518,67.28,9.51
5,Bluff,93,NZ,1667532892,80,-46.6,168.3333,50.52,34.36
6,Mataura,78,NZ,1667532893,72,-46.1927,168.8643,52.66,12.75
7,Beloha,15,MG,1667532893,68,-25.1667,45.05,71.51,12.44
8,Hilo,75,US,1667532894,86,19.7297,-155.09,76.62,5.01
9,Albany,0,US,1667532682,69,42.6001,-73.9662,55.81,1.01
10,Ostrov,93,RU,1667532895,89,57.3439,28.3537,38.93,3.31
11,Ponta Delgada,75,PT,1667532895,100,37.7333,-25.6667,69.49,11.5
12,Syas'stroy,15,RU,1667532896,89,60.1367,32.5691,29.3,4.34
13,Ushuaia,20,AR,1667532896,71,-54.8,-68.3,53.26,8.05
14,Dikson,100,RU,1667532896,92,73.5069,80.5464,21.43,6.04
15,Henderson,0,US,1667532881,61,36.0397,-114.9819,53.04,4.61
16,Punta Arenas,0,CL,1667532897,63,-53.15,-70.9167,59.11,26.46
17,Plettenberg Bay,96,ZA,1667532898,93,-34.0527,23.3716,63.28,3.76
18,East London,20,ZA,1667532898,88,-33.0153,27.9116,65.34,2.3
19,Laohekou,100,CN,1667532898,65,32.3858,111.6678,56.43,5.39
20,Sola,75,VU,1667532899,70,-13.8833,167.55,84.87,0
21,São Filipe,100,CV,1667532900,55,14.8961,-24.4956,80.78,7.78
22,Pevek,57,RU,1667532900,98,69.7008,170.3133,-16.19,6.22
23,Constitución,97,CL,1667532656,88,-35.3333,-72.4167,50.09,1.48
24,Paraíso,100,CR,1667532901,91,9.8383,-83.8656,65.41,1.21
25,Bredasdorp,97,ZA,1667532902,94,-34.5322,20.0403,63.84,12.01
26,Tuktoyaktuk,100,CA,1667532902,85,69.4541,-133.0374,10.4,11.5
27,Kavieng,33,PG,1667532903,67,-2.5744,150.7967,84.94,2.64
28,Castro,6,BR,1667532605,98,-24.7911,-50.0119,43.5,4.36
29,Mahébourg,40,MU,1667532904,83,-20.4081,57.7,76.24,9.22
30,Bustamante,0,MX,1667532904,67,26.5333,-100.5,72.59,13.82
31,Cape Town,20,ZA,1667532714,83,-33.9258,18.4232,70.12,8.99
32,Severo-Kuril'sk,100,RU,1667532905,84,50.6789,156.125,40.6,13.87
33,Oudtshoorn,60,ZA,1667532905,90,-33.5907,22.2014,59.36,0.76
34,Port Lincoln,55,AU,1667532906,61,-34.7333,135.8667,60.84,9.75
35,George Town,20,MY,1667532832,78,5.4112,100.3354,86.9,5.75
36,Khedbrahma,0,IN,1667532907,32,24.0333,73.05,83.07,2.44
37,Vieux-Habitants,95,GP,1667532907,79,16.0589,-61.7659,76.57,11.36
38,Souillac,40,MU,1667532908,83,-20.5167,57.5167,75.58,9.22
39,Ambanja,4,MG,1667532908,82,-13.6833,48.45,76.93,1.61
40,Catuday,19,PH,1667532909,74,16.2923,119.8062,82.15,11.36
41,Marawi,69,PH,1667532910,80,7.9986,124.2928,78.98,4.9
42,Srednekolymsk,28,RU,1667532910,91,67.45,153.6833,-12.8,2.71
43,Yellowknife,100,CA,1667532911,92,62.456,-114.3525,16.32,14.97
